,name,region,country,lat,lon,tz_id,localtime_epoch,localtime,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,is_moon_up,is_sun_up
0,Kabul,Kabol,Afghanistan,34.52,69.18,Asia/Kabul,1675950896,09/02/2023 18:24,6:45 am,5:31 pm,8:52 pm,8:44 am,Waning Gibbous,91,1,0
1,Lappoby-Aland,Aland,Finland,60.32,20.98,Europe/Mariehamn,1675950897,09/02/2023 15:54,8:32 am,5:09 pm,9:42 pm,9:43 am,Waning Gibbous,91,1,0
2,Tirana,Tirane,Albania,41.33,19.82,Europe/Tirane,1675950898,09/02/2023 14:54,6:44 am,5:07 pm,8:47 pm,8:37 am,Waning Gibbous,91,1,0
3,Algiers,Alger,Algeria,36.76,3.05,Africa/Algiers,1675950738,09/02/2023 14:52,7:43 am,6:21 pm,9:57 pm,9:44 am,Waning Gibbous,91,1,0
4,Afao,American Samoa,United States of America,-14.34,-170.8,Pacific/Pago_Pago,1675950739,09/02/2023 2:52,6:18 am,6:56 pm,9:49 pm,9:30 am,Waning Gibbous,91,0,1
5,Andorra La Vella,Andorra la Vella,Andorra,42.5,1.52,Europe/Andorra,1675950740,09/02/2023 14:52,7:59 am,6:17 pm,10:03 pm,9:52 am,Waning Gibbous,91,1,0
6,Luanda,Cuanza Norte,Angola,-8.84,13.23,Africa/Luanda,1675950740,09/02/2023 14:52,6:08 am,6:34 pm,9:15 pm,8:51 am,Waning Gibbous,91,1,0
7,The Valley,,Anguilla,18.22,-63.05,America/Anguilla,1675950741,09/02/2023 9:52,6:42 am,6:10 pm,9:30 pm,9:09 am,Waning Gibbous,91,0,0
8,Saint John,Saint John,Antigua and Barbuda,17.12,-61.85,America/Antigua,1675950900,09/02/2023 9:55,6:36 am,6:07 pm,9:25 pm,9:04 am,Waning Gibbous,91,0,0
9,Buenos Aires,Distrito Federal,Argentina,-34.59,-58.67,America/Argentina/Buenos_Aires,1675950901,09/02/2023 10:55,6:23 am,7:54 pm,10:07 pm,9:44 am,Waning Gibbous,91,0,0
10,Yerevan,Yerevan,Armenia,40.18,44.51,Asia/Yerevan,1675950902,09/02/2023 17:55,8:03 am,6:30 pm,10:04 pm,9:56 am,Waning Gibbous,91,1,0
11,Oranjestad,,Aruba,12.52,-70.03,America/Aruba,1675950902,09/02/2023 9:55,7:04 am,6:45 pm,9:58 pm,9:37 am,Waning Gibbous,91,0,0
12,Canberra,Australian Capital Territory,Australia,-35.28,149.22,Australia/Sydney,1675950903,10/02/2023 0:55,6:29 am,8:04 pm,10:02 pm,9:19 am,Waning Gibbous,91,0,1
13,Vienna,Wien,Austria,48.2,16.37,Europe/Vienna,1675950903,09/02/2023 14:55,7:12 am,5:06 pm,9:01 pm,8:54 am,Waning Gibbous,91,1,0
14,Baku,Baki,Azerbaijan,40.4,49.88,Asia/Baku,1675950904,09/02/2023 17:55,7:42 am,6:08 pm,9:42 pm,9:35 am,Waning Gibbous,91,1,0
15,Nassau,New Providence,Bahamas,25.08,-77.35,America/Nassau,1675950905,09/02/2023 8:55,6:48 am,6:00 pm,9:30 pm,9:09 am,Waning Gibbous,91,0,0
16,Manama,Al Manamah,Bahrain,26.24,50.58,Asia/Bahrain,1675950905,09/02/2023 16:55,6:18 am,5:26 pm,8:39 pm,8:26 am,Waning Gibbous,91,1,0
17,Dhaka,,Bangladesh,23.72,90.41,Asia/Dhaka,1675950906,09/02/2023 19:55,6:35 am,5:50 pm,8:55 pm,8:43 am,Waning Gibbous,91,1,0
18,Bridgetown,Saint Michael,Barbados,13.1,-59.62,America/Barbados,1675950907,09/02/2023 9:55,6:23 am,6:02 pm,9:16 pm,8:54 am,Waning Gibbous,91,0,0
19,Minsk,Minsk,Belarus,53.9,27.57,Europe/Minsk,1675950908,09/02/2023 16:55,8:42 am,6:06 pm,10:14 pm,10:11 am,Waning Gibbous,91,1,0
20,Brussels,,Belgium,50.83,4.33,Europe/Brussels,1675950908,09/02/2023 14:55,8:06 am,5:48 pm,9:52 pm,9:44 am,Waning Gibbous,91,1,0
21,Belmopan,Cayo,Belize,17.25,-88.77,America/Belize,1675950909,09/02/2023 7:55,6:24 am,5:55 pm,9:16 pm,8:54 am,Waning Gibbous,91,0,0
22,Porto-Novo,Oueme,Benin,6.48,2.62,Africa/Porto-Novo,1675950909,09/02/2023 14:55,7:07 am,7:00 pm,9:58 pm,9:38 am,Waning Gibbous,91,1,0
23,Hamilton,Hamilton,Bermuda,32.29,-64.78,Atlantic/Bermuda,1675950910,09/02/2023 9:55,7:07 am,6:00 pm,9:39 pm,9:19 am,Waning Gibbous,91,0,0
24,Thimphu,Thimphu,Bhutan,27.48,89.6,Asia/Thimphu,1675950910,09/02/2023 19:55,6:43 am,5:49 pm,8:58 pm,8:48 am,Waning Gibbous,91,1,0
25,La Paz,La Paz,Bolivia,-16.5,-68.15,America/La_Paz,1675950911,09/02/2023 9:55,6:25 am,7:08 pm,9:48 pm,9:26 am,Waning Gibbous,91,0,0
26,Bonaire,Santander,Colombia,7,-73.6,America/Bogota,1675950911,09/02/2023 8:55,6:12 am,6:05 pm,9:13 pm,8:51 am,Waning Gibbous,91,0,0
27,Sarajevo,,Bosnia and Herzegovina,43.85,18.38,Europe/Sarajevo,1675950912,09/02/2023 14:55,6:54 am,5:08 pm,8:53 pm,8:44 am,Waning Gibbous,91,1,0
28,Gaborone,South-East,Botswana,-24.65,25.91,Africa/Gaborone,1675950913,09/02/2023 15:55,5:59 am,7:02 pm,9:23 pm,8:55 am,Waning Gibbous,91,1,0
29,Bouvet,Basse-Normandie,France,48.7,0.65,Europe/Paris,1675950913,09/02/2023 14:55,8:16 am,6:08 pm,10:07 pm,9:57 am,Waning Gibbous,91,1,0
30,Brasilia,Distrito Federal,Brazil,-15.78,-47.92,America/Sao_Paulo,1675950914,09/02/2023 10:55,6:05 am,6:46 pm,9:25 pm,9:02 am,Waning Gibbous,91,1,0
31,Bandar Seri Begawan,,Brunei Darussalam,4.88,114.93,Asia/Brunei,1675950914,09/02/2023 21:55,6:36 am,6:33 pm,9:16 pm,8:56 am,Waning Gibbous,91,1,1
32,Sofia,Grad Sofiya,Bulgaria,42.68,23.32,Europe/Sofia,1675950915,09/02/2023 15:55,7:33 am,5:50 pm,9:33 pm,9:23 am,Waning Gibbous,91,1,0
33,Ouagadougou,Kadiogo,Burkina Faso,12.37,-1.52,Africa/Ouagadougou,1675950916,09/02/2023 13:55,6:30 am,6:11 pm,9:16 pm,8:56 am,Waning Gibbous,91,1,0
34,Bujumbura,Bujumbura,Burundi,-3.38,29.36,Africa/Bujumbura,1675950916,09/02/2023 15:55,6:10 am,6:23 pm,9:08 pm,8:46 am,Waning Gibbous,91,1,0
35,Phnum Penh,Phnum Penh,Cambodia,11.55,104.92,Asia/Phnom_Penh,1675950917,09/02/2023 20:55,6:23 am,6:06 pm,8:56 pm,8:40 am,Waning Gibbous,91,1,1
36,Yaounde,Centre,Cameroon,3.87,11.52,Africa/Douala,1675950917,09/02/2023 14:55,6:28 am,6:27 pm,9:22 pm,9:01 am,Waning Gibbous,91,1,0
37,Ottawa,Ontario,Canada,45.42,-75.7,America/Toronto,1675950918,09/02/2023 8:55,7:14 am,5:21 pm,9:27 pm,9:05 am,Waning Gibbous,91,0,0
38,Palha Verde,Sal,Cape Verde,16.67,-22.93,Atlantic/Cape_Verde,1675950919,09/02/2023 12:55,7:00 am,6:31 pm,9:44 pm,9:25 am,Waning Gibbous,91,1,0
39,George Town,,Cayman Islands,19.3,-81.38,America/Cayman,1675950919,09/02/2023 8:55,6:57 am,6:22 pm,9:46 pm,9:25 am,Waning Gibbous,91,0,0
40,Bangui,Bangui,Central African Republic,4.37,18.58,Africa/Bangui,1675950920,09/02/2023 14:55,6:01 am,5:59 pm,8:52 pm,8:32 am,Waning Gibbous,91,1,0
41,N'djamena,Chari-Baguirmi,Chad,12.11,15.05,Africa/Douala,1675950921,09/02/2023 14:55,6:23 am,6:05 pm,9:07 pm,8:48 am,Waning Gibbous,91,1,0
42,Santiago,Region Metropolitana,Chile,-33.45,-70.67,America/Santiago,1675950922,09/02/2023 10:55,7:13 am,8:40 pm,10:56 pm,10:33 am,Waning Gibbous,91,0,0
43,Beijing,Beijing,China,39.93,116.39,Asia/Shanghai,1675950922,09/02/2023 21:55,7:15 am,5:43 pm,9:04 pm,9:05 am,Waning Gibbous,91,1,1
44,Drumsite,,Christmas Island,-10.43,105.68,Indian/Christmas,1675950923,09/02/2023 20:55,5:57 am,6:26 pm,8:55 pm,8:29 am,Waning Gibbous,91,1,1
45,Bogota,Cundinamarca,Colombia,4.6,-74.08,America/Bogota,1675950924,09/02/2023 8:55,6:12 am,6:09 pm,9:14 pm,8:53 am,Waning Gibbous,91,0,0
46,Moroni,Grande Comore,Comoros,-11.7,43.24,Indian/Comoro,1675950924,09/02/2023 16:55,6:05 am,6:37 pm,9:12 pm,8:47 am,Waning Gibbous,91,1,0
